Andaman & Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli and Daman & Diu,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,NCT OF Delhi,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
1.0,3.0,2.0,9.0,12.0,,10.0,1.0,1.0,25.0,5.0,4.0,2.0,8.0,17.0,,,,29.0,9.0,,,,,7.0,20.0,,,14.0,,,8.0,2.0,33.0,5.0,12.0
,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,,1.0,1.0,,1.0,1.0,5.0,,,2.0,9.0,14.0,,1.0,,13.0,2.0,1.0,,1.0,,1.0,1.0,7.0,8.0,,9.0,8.0,,6.0,,1.0
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
